ID3v2.3 	MetaData 	                WMA				M4A
APIC 	    images										covr
COMM 	    comment 					Description		@cmt                
TPOS 	    album number/album total 	WM/PartofSet	disk
TRCK 	    track number/track total 	WM/TrackNumber	trkn
TALB 	    album name 	                WM/AlbumTitle	@alb
TCOM		composer(s)					WM/Composer		@wrt   
TCOP 	    copyright 	                Copyright		cprt
TIT2 	    track name 	                Title			@nam
TMED 	    media 	                    undefined		undefined
TPE1 	    artist name 	            Author			@ART
TPE2 	    album artist	            WM/AlbumArtist	aART
TPE3 	    conductor_name 	            WM/Conductor	@con
TPUB 	    publisher 	                WM/Publisher	@pub
TYER 	    year 	                    WM/Year			@day
