ID3v2.3(MP3)MetaData 	                WMA(ASF)		M4A(MP4)
APIC 	    images						WM/Picture		covr
COMM 	    comment 					Description		@cmt                
TPOS 	    album number/album total 	WM/PartofSet	disk
TRCK 	    track number/track total 	WM/TrackNumber	trkn
TALB 	    album name 	                WM/AlbumTitle	@alb
TCOM		composer(s)					WM/Composer		@wrt   
TCON        genre                       WM/Genre        @gen
TCOP 	    copyright 	                Copyright		cprt
TIT2 	    track name 	                Title			@nam
TMED 	    media 	                    WM/Media		----:com.apple.iTunes:MEDIA
TPE1 	    artist name 	            Author			@ART
TPE2 	    album artist	            WM/AlbumArtist	aART
TPUB 	    publisher 	                WM/Publisher	@pub
TYER 	    year 	                    WM/Year			@day
