audio file path;album metadata;album directory
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Call Me Darling.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Don't Smoke In Bed.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Frankie & Johnnie.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-House Of The Rising Sun.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Miss Otis Regrets.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Outskirts Of Town.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-St. James Infirmary.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-Strange Fruit.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-You Won't Let Me Go.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White Jr. With Robin Batteau\Josh White Jr. With Robin Batteau-You'd Be So Nice To Come Home To.mp3;Jazz, Ballads & Blues;Jazz, Ballads & Blues
C:\Music\Josh White\Josh White-Gloomy Sunday.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Good Morning Blues (w-Libby Holman).mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-Green Grass Growing All Around (w-Bill White).mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-Greenville Sheik.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-Hard Time Blues.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-He Never Said A Mumblin' Word.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-Helleleu.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Howling Wolf Blues.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-I Ain't Got Nothing But The Blues (w-Beverly White).mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-I Believe I'll Make A Change.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Josh White\Josh White-I Gave My Love A Cherry.mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
